nom_norm,code_postal,code_insee,lat,lon,population,dept,nom
NENON,39700,39205,47.10280,5.60820,0,39,Nenon
NEUILLY LA FORET,14330,14342,49.28520,-1.05700,0,14,Neuilly-la-Forêt
NEUILLY LES DIJON,21800,21452,47.27230,5.11430,0,21,Neuilly-lès-Dijon
NEUILLY SUR EURE,61290,61230,48.54190,0.80330,0,61,Neuilly-sur-Eure
NEUVEGLISE,15260,15142,44.93600,2.97670,0,15,Neuvéglise
NEUVELLE LES CHAMPLITTE,70600,70122,47.63100,5.49930,0,70,Neuvelle-lès-Champlitte
NEUVELLE LES GRANCEY,21580,21304,47.66990,5.01170,0,21,Neuvelle-lès-Grancey
NEUVILLE LES DIEPPE,76370,76217,49.91990,1.08380,0,76,Neuville-lès-Dieppe
NEUVILLE LES LOEUILLY,80160,80485,49.76720,2.18970,0,80,Neuville-lès-Lœuilly
NEUVILLE PRES SEES,61500,61081,48.65970,0.21240,0,61,Neuville-près-Sées
NEUVY EN BEAUCE,28310,28319,48.27740,1.92220,0,28,Neuvy-en-Beauce
NEUVY EN MAUGES,49750,49092,47.22110,-0.69640,0,49,Neuvy-en-Mauges
NIEDERBRUCK,68290,68201,47.78190,6.97640,0,68,Niederbruck
NIEDERSEEBACH,67160,67351,48.96360,7.98940,0,67,Niederseebach
NIEUL SUR L AUTISE,85420,85162,46.41850,-0.66610,0,85,Nieul-sur-l'Autise
NIJON,52150,52064,48.22250,5.61230,0,52,Nijon
NOCE,61340,61309,48.35850,0.69580,0,61,Nocé
NOELLET,49520,49248,47.72320,-1.10860,0,49,Noëllet
NOIRTERRE,79300,79049,46.86540,-0.47330,0,79,Noirterre
NOJALS ET CLOTTE,24440,24028,44.73870,0.75520,0,24,Nojals-et-Clotte
NONANT LE PIN,61240,61275,48.69500,0.26690,0,61,Nonant-le-Pin
NONIERES,07160,07165,44.92000,4.49680,0,07,Nonières
NORMANDEL,61190,61429,48.63940,0.75970,0,61,Normandel
NORMEE,51230,51248,48.76930,4.02590,0,51,Normée
NOROY LES JUSSEY,70500,70292,47.82200,5.89210,0,70,Noroy-lès-Jussey
NOTRE DAME D ALLENCON,49540,49086,47.26900,-0.44300,0,49,Notre-Dame-d'Allençon
NOTRE DAME D ELLE,50810,50492,49.09340,-0.95510,0,50,Notre-Dame-d'Elle
NOTRE DAME D OR,86330,86108,46.80430,0.03400,0,86,Notre-Dame-d'Or
NOTRE DAME DE BRIANCON,73260,73187,45.52610,6.46660,0,73,Notre-Dame-de-Briançon
NOTRE DAME DE COURSON,14290,14371,49.00140,0.22310,0,14,Notre-Dame-de-Courson
NOTRE DAME DE GRAVENCHON,76330,76476,49.50620,0.58340,0,76,Notre-Dame-de-Gravenchon
NOTRE DAME DE SANILHAC,24750,24312,45.10790,0.74350,0,24,Notre-Dame-de-Sanilhac
NOTRE DAME DU ROCHER,61430,61007,48.79340,-0.46210,0,61,Notre-Dame-du-Rocher
NOTRE DAME DU TOUCHET,50140,50359,48.60770,-0.92590,0,50,Notre-Dame-du-Touchet
NOYANT,49490,49228,47.51110,0.10270,0,49,Noyant
NOYANT LA GRAVOYERE,49520,49331,47.71110,-0.85400,0,49,Noyant-la-Gravoyère
NOYANT LA PLAINE,49700,49003,47.27050,-0.32220,0,49,Noyant-la-Plaine
NOYERS BOCAGE,14310,14475,49.11110,-0.57000,0,14,Noyers-Bocage
NUAILLE SUR BOUTONNE,17470,17268,46.03070,-0.40430,0,17,Nuaillé-sur-Boutonne
NUEIL SUR LAYON,49560,49373,47.15040,-0.46180,0,49,Nueil-sur-Layon
NUELLES,69210,69208,45.86040,4.61670,0,69,Nuelles
NYOISEAU,49520,49331,47.71110,-0.85400,0,49,Nyoiseau
ODIVAL,52800,52353,48.04190,5.36350,0,52,Odival
OEY,55500,55358,48.67540,5.38900,0,55,Oëy
OGER,51190,51612,48.92270,3.97140,0,51,Oger
OINGT,69620,69024,45.93860,4.56680,0,69,Oingt
OIRON,79600,79196,46.90830,-0.09850,0,79,Oiron
OMIECOURT,80320,80621,49.80810,2.85870,0,80,Omiécourt
OMMEEL,61310,61474,48.78510,0.11260,0,61,Omméel
OMONVILLE LA PETITE,50690,50041,49.65460,-1.82140,0,50,Omonville-la-Petite
OMONVILLE LA ROGUE,50690,50041,49.65460,-1.82140,0,50,Omonville-la-Rogue
ONCOURT,88150,88465,48.24980,6.42440,0,88,Oncourt
ONDEFONTAINE,14770,14027,48.99080,-0.65450,0,14,Ondefontaine
ONVILLERS,80500,80623,49.62430,2.64940,0,80,Onvillers
ONZAIN,41150,41167,47.50790,1.15000,0,41,Onzain
ORBOIS,14250,14581,49.13380,-0.69930,0,14,Orbois
