nom_norm,code_postal,code_insee,lat,lon,population,dept
BRANDIVY,56390,56022,47.78280,-2.91640,1466,56
BRANDO,20222,2B043,42.77710,9.45270,1584,2B
BRANDONNET,12350,12034,44.38420,2.13830,287,12
BRANDONVILLERS,51290,51080,48.58830,4.56970,191,51
BRANGES,71500,71056,46.65160,5.16200,2386,71
BRANGUES,38510,38055,45.69520,5.54220,614,38
BRANNAY,89150,89054,48.23060,3.12700,773,89
BRANNE,25340,25087,47.38060,6.47790,179,25
BRANNE,33420,33071,44.82990,-0.18100,1296,33
BRANNENS,33124,33072,44.52150,-0.15680,251,33
BRANOUX LES TAILLADES,30110,30051,44.22920,3.98220,1278,30
BRANS,39290,39074,47.22380,5.57400,200,39
BRANSAT,03500,03038,46.33280,3.21680,530,03
BRANSCOURT,51140,51081,49.27010,3.82130,308,51
BRANSLES,77620,77050,48.14810,2.83180,526,77
BRANTES,84390,84021,44.18610,5.33150,86,84
BRANTIGNY,88130,88073,48.34900,6.27690,198,88
BRANTOME EN PERIGORD,24310,24064,45.37560,0.65960,3763,24
BRANTOME EN PERIGORD,24460,24064,45.37560,0.65960,3763,24
BRANTOME EN PERIGORD,24530,24064,45.37560,0.65960,3763,24
BRANVILLE,14430,14093,49.26840,0.02510,238,14
BRAQUIS,55400,55072,49.15630,5.62580,105,55
BRAS,83149,83021,43.47230,5.95580,2637,83
BRAS D ASSE,04270,04031,43.92840,6.12780,571,04
BRAS PANON,97412,97402,-21.03160,55.62650,13012,974
BRAS SUR MEUSE,55100,55073,49.20740,5.39060,661,55
BRASC,12550,12035,43.98030,2.57770,170,12
BRASLES,02400,02114,49.05790,3.41950,1788,02
BRASLOU,37120,37034,46.99990,0.41110,319,37
BRASPARTS,29190,29016,48.31850,-3.95280,1067,29
BRASSAC,09000,09066,42.93450,1.51510,633,09
BRASSAC,81260,81037,43.61170,2.50970,1289,81
BRASSAC,82190,82024,44.22300,0.97700,254,82
BRASSAC LES MINES,63570,63050,45.41570,3.31880,3412,63
BRASSEMPOUY,40330,40054,43.63470,-0.70200,279,40
BRASSEUSE,60810,60100,49.25070,2.68090,110,60
BRASSY,58140,58037,47.25840,3.93740,603,58
BRASSY,80160,80134,49.73290,2.05100,82,80
BRATTE,54610,54095,48.81740,6.21560,46,54
BRAUD ET SAINT LOUIS,33820,33073,45.25690,-0.65810,1527,33
BRAUVILLIERS,55170,55075,48.57680,5.15500,159,55
BRAUX,04240,04032,43.99020,6.69820,139,04
BRAUX,10500,10059,48.48140,4.45950,114,10
